label,len,qr,count_queries,qry_type,qry_name_enthropy,qry_name_len,count_labels,resp_type,resp_ttl,resp_len,count_auth_rr,count_add_rr,count_answers,count_rtypes
1,290,0,1,16,5.822059869362411,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.743386945745321,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.806447691433491,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.756657590591781,244,11,0,0,0,0,0,0,0
1,289,0,1,16,5.795786582537765,243,11,0,0,0,0,0,0,0
1,290,0,1,16,5.841060958044343,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.742897176458321,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.779161765225653,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.738600950130072,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.824068311643146,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.857370348606558,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.8476571686806675,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.828951189513371,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.785995768854369,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.761749264916281,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.782942209902712,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.725725406694959,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.816280875045235,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.807425830279206,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.767327770974164,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.824126304719384,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.7426735667681506,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.758724025948752,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.820328109252804,244,11,0,0,0,0,0,0,0
1,288,0,1,16,5.847065864319961,242,11,0,0,0,0,0,0,0
1,290,0,1,16,5.843690419046536,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.771574140333043,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.770976289662779,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.8014103960776175,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.83333846960967,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.789976701790724,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.839500013101921,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.8245722176120545,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.8176211012307935,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.800989865615452,244,11,0,0,0,0,0,0,0
1,289,0,1,16,5.77918821142104,243,11,0,0,0,0,0,0,0
1,289,0,1,16,5.832683124558969,243,11,0,0,0,0,0,0,0
1,290,0,1,16,5.842382756886393,244,11,0,0,0,0,0,0,0
1,290,0,1,16,5.788045129975814,244,11,0,0,0,0,0,0,0
1,289,0,1,16,5.778693760448827,243,11,0,0,0,0,0,0,0
1,291,0,1,16,5.796186809636533,245,11,0,0,0,0,0,0,0
1,291,0,1,16,5.8514341833234305,245,11,0,0,0,0,0,0,0
1,291,0,1,16,5.843535944818415,245,11,0,0,0,0,0,0,0
1,291,0,1,16,5.856818454421321,245,11,0,0,0,0,0,0,0
1,291,0,1,16,5.698304856464436,245,11,0,0,0,0,0,0,0
1,291,0,1,16,5.810199716574063,245,11,0,0,0,0,0,0,0
1,291,0,1,16,5.7791104075580995,245,11,0,0,0,0,0,0,0
1,291,0,1,16,5.825086056417988,245,11,0,0,0,0,0,0,0
1,290,0,1,16,5.749147512718993,244,11,0,0,0,0,0,0,0
1,291,0,1,16,5.792395842724614,245,11,0,0,0,0,0,0,0
1,291,0,1,16,5.815335730691093,245,11,0,0,0,0,0,0,0
1,291,0,1,16,5.7877473176817205,245,11,0,0,0,0,0,0,0
1,291,0,1,16,5.860903326319247,245,11,0,0,0,0,0,0,0
1,291,0,1,16,5.804928480861335,245,11,0,0,0,0,0,0,0
1,291,0,1,16,5.847800556547831,245,11,0,0,0,0,0,0,0
1,291,0,1,16,5.79122783103967,245,11,0,0,0,0,0,0,0
1,291,0,1,16,5.779045050696863,245,11,0,0,0,0,0,0,0
1,291,0,1,16,5.781584970725285,245,11,0,0,0,0,0,0,0
1,291,0,1,16,5.740484143261998,245,11,0,0,0,0,0,0,0
1,291,0,1,16,5.771155760268371,245,11,0,0,0,0,0,0,0
1,291,0,1,16,5.745251947455258,245,11,0,0,0,0,0,0,0
1,291,0,1,16,5.7408740790884,245,11,0,0,0,0,0,0,0
1,291,0,1,16,5.846010507985598,245,11,0,0,0,0,0,0,0
1,290,0,1,16,5.709401202896844,244,11,0,0,0,0,0,0,0
1,291,0,1,16,5.762718520084618,245,11,0,0,0,0,0,0,0
1,291,0,1,16,5.801098109709473,245,11,0,0,0,0,0,0,0
1,291,0,1,16,5.839280281165524,245,11,0,0,0,0,0,0,0
1,205,0,1,16,5.60025898123288,159,9,0,0,0,0,0,0,0
1,297,1,1,16,5.60025898123288,159,9,16,60,9,1,0,1,2
1,76,0,1,5,3.8565647621309544,30,7,0,0,0,0,0,0,0
1,162,1,1,5,3.8565647621309544,30,7,5,60,3,1,0,1,2
1,74,0,1,16,4.008621780036166,28,6,0,0,0,0,0,0,0
1,160,1,1,16,4.008621780036166,28,6,16,60,3,1,0,1,2
1,74,0,1,16,4.008621780036165,28,6,0,0,0,0,0,0,0
